no,code,company_name,listing_date,shares,listing_board
26,AMAG,Asuransi Multi Artha Guna Tbk.,23 Dec 2005,"5,001,552,516",Development
27,AMFG,Asahimas Flat Glass Tbk.,08 Nov 1995,"434,000,000",Development
28,AMIN,Ateliers Mecaniques D Indonesi,10 Dec 2015,"1,080,000,000",Development
29,AMRT,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,"41,524,501,700",Main
30,ANJT,Austindo Nusantara Jaya Tbk.,08 May 2013,"3,354,175,000",Development
31,ANTM,Aneka Tambang Tbk.,27 Nov 1997,"24,030,764,725",Main
32,APEX,Apexindo Pratama Duta Tbk.,05 Jun 2013,"3,546,466,661",Development
33,APIC,Pacific Strategic Financial Tb,18 Dec 2002,"11,766,313,488",Development
34,APII,Arita Prima Indonesia Tbk.,29 Oct 2013,"1,075,760,000",Development
35,APLI,Asiaplast Industries Tbk.,01 May 2000,"1,362,671,400",Development
36,APLN,Agung Podomoro Land Tbk.,11 Nov 2010,"22,699,326,779",Main
37,ARGO,Argo Pantes Tbk,07 Jan 1991,"3,174,339,029",Development
38,ARII,Atlas Resources Tbk.,08 Nov 2011,"3,431,000,000",Development
39,ARNA,Arwana Citramulia Tbk.,17 Jul 2001,"7,341,430,976",Main
40,ARTA,Arthavest Tbk,05 Nov 2002,"446,674,175",Development
41,ARTI,Ratu Prabu Energi Tbk,30 Apr 2003,"7,840,000,000",Watchlist
42,ARTO,Bank Jago Tbk.,12 Jan 2016,"13,722,768,400",Main
43,ASBI,Asuransi Bintang Tbk.,29 Nov 1989,"348,386,472",Development
44,ASDM,Asuransi Dayin Mitra Tbk.,15 Dec 1989,"384,000,000",Development
45,ASGR,Astra Graphia Tbk.,15 Nov 1989,"1,348,780,500",Main
46,ASII,Astra International Tbk.,04 Apr 1990,"40,483,553,140",Main
47,ASJT,Asuransi Jasa Tania Tbk.,23 Dec 2003,"1,400,000,000",Development
48,ASMI,Asuransi Maximus Graha Persada,16 Jan 2014,"8,958,380,460",Watchlist
49,ASRI,Alam Sutera Realty Tbk.,18 Dec 2007,"19,649,411,888",Main
50,ASRM,Asuransi Ramayana Tbk.,19 Mar 1990,"1,277,992,036",Development
51,ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,"3,691,137,517",Main
52,ATIC,Anabatic Technologies Tbk.,08 Jul 2015,"2,315,361,355",Development
53,AUTO,Astra Otoparts Tbk.,15 Jun 1998,"4,819,733,000",Main
54,BABP,Bank MNC Internasional Tbk.,15 Jul 2002,"44,014,333,126",Development
55,BACA,Bank Capital Indonesia Tbk.,04 Oct 2007,"19,753,494,636",Main
56,BAJA,Saranacentral Bajatama Tbk.,21 Dec 2011,"1,800,000,000",Development
57,BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,"3,934,592,500",Main
58,BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,"661,784,520",Development
59,BATA,Sepatu Bata Tbk.,24 Mar 1982,"1,300,000,000",Watchlist
60,BAYU,Bayu Buana Tbk,30 Oct 1989,"353,220,780",Main
61,BBCA,Bank Central Asia Tbk.,31 May 2000,"122,042,299,500",Main
62,BBHI,Allo Bank Indonesia Tbk.,12 Agt 2015,"21,512,953,877",Main
63,BBKP,Bank KB Indonesia Tbk.,10 Jul 2006,"185,819,884,852",Development
64,BBLD,Buana Finance Tbk.,07 May 1990,"1,645,796,054",Development
65,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,"4,049,189,100",Development
66,BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,"36,924,339,786",Main
67,BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,"150,043,411,587",Main
68,BBRM,Pelayaran Nasional Bina Buana ,09 Jan 2013,"8,479,490,328",Development
69,BBTN,Bank Tabungan Negara (Persero),17 Dec 2009,"13,894,099,969",Main
70,BBYB,Bank Neo Commerce Tbk.,13 Jan 2015,"13,216,977,523",Main
71,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,"42,618,850,927",Main
72,BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,"17,926,071,041",Development
73,BCIP,Bumi Citra Permai Tbk.,11 Dec 2009,"1,429,915,525",Development
74,BDMN,Bank Danamon Indonesia Tbk.,06 Dec 1989,"9,675,817,341",Main
75,BEKS,Bank Pembangunan Daerah Banten,13 Jul 2001,"51,351,733,883",Watchlist
76,BEST,Bekasi Fajar Industrial Estate,10 Apr 2012,"9,647,311,150",Main
77,BFIN,BFI Finance  Indonesia Tbk.,16 May 1990,"15,039,383,620",Main
78,BGTG,Bank Ganesha Tbk.,12 May 2016,"23,731,287,132",Main
79,BHIT,MNC Asia Holding Tbk.,24 Nov 1997,"86,068,156,705",Watchlist
80,BIKA,Binakarya Jaya Abadi Tbk.,14 Jul 2015,"592,280,000",Watchlist
81,BIMA,Primarindo Asia Infrastructure,30 Agt 1994,"608,175,716",Watchlist
82,BINA,Bank Ina Perdana Tbk.,16 Jan 2014,"6,073,369,498",Main
83,BIPI,Astrindo Nusantara Infrastrukt,11 Feb 2010,"63,710,196,917",Development
84,BIPP,Bhuwanatala Indah Permai Tbk.,23 Oct 1995,"5,028,669,376",Watchlist
85,BIRD,Blue Bird Tbk.,05 Nov 2014,"2,502,100,000",Main
86,BISI,BISI International Tbk.,28 May 2007,"3,000,000,000",Main
87,BJBR,Bank Pembangunan Daerah Jawa B,08 Jul 2010,"10,416,229,249",Main
88,BJTM,Bank Pembangunan Daerah Jawa T,12 Jul 2012,"14,865,343,101",Main
89,BKDP,Bukit Darmo Property Tbk,15 Jun 2007,"7,513,992,252",Watchlist
90,BKSL,Sentul City Tbk.,28 Jul 1997,"167,708,902,705",Main
91,BKSW,Bank QNB Indonesia Tbk.,21 Nov 2002,"34,806,467,881",Development
92,BLTA,Berlian Laju Tanker Tbk,26 Mar 1990,"25,940,187,103",Watchlist
93,BLTZ,Graha Layar Prima Tbk.,10 Apr 2014,"873,937,142",Watchlist
94,BMAS,Bank Maspion Indonesia Tbk.,11 Jul 2013,"17,921,635,680",Development
95,BMRI,Bank Mandiri (Persero) Tbk.,14 Jul 2003,"92,399,999,996",Main
96,BMSR,Bintang Mitra Semestaraya Tbk,29 Dec 1999,"1,159,200,024",Development
97,BMTR,Global Mediacom Tbk.,17 Jul 1995,"16,583,997,586",Main
98,BNBA,Bank Bumi Arta Tbk.,01 Jun 2006,"3,354,120,000",Development
99,BNBR,Bakrie & Brothers Tbk,28 Agt 1989,"173,416,832,509",Watchlist
100,BNGA,Bank CIMB Niaga Tbk.,29 Nov 1989,"24,890,783,784",Main
101,BNII,Bank Maybank Indonesia Tbk.,21 Nov 1989,"75,357,433,911",Main
102,BNLI,Bank Permata Tbk.,15 Jan 1990,"35,819,545,925",Main
103,BOLT,Garuda Metalindo Tbk.,07 Jul 2015,"2,343,750,000",Development
104,BPFI,Woori Finance Indonesia Tbk.,01 Jun 2009,"2,673,995,362",Development
105,BPII,Batavia Prosperindo Internasio,08 Jul 2014,"10,309,973,240",Development
106,BRAM,Indo Kordsa Tbk.,05 Sep 1990,"450,056,980",Development
107,BRMS,Bumi Resources Minerals Tbk.,09 Dec 2010,"141,784,040,338",Main
108,BRNA,Berlina Tbk.,06 Nov 1989,"979,110,000",Development
109,BRPT,Barito Pacific Tbk.,01 Oct 1993,"93,747,218,044",Main
110,BSDE,Bumi Serpong Damai Tbk.,06 Jun 2008,"21,171,365,812",Main
111,BSIM,Bank Sinarmas Tbk.,13 Dec 2010,"19,517,921,842",Main
112,BSSR,Baramulti Suksessarana Tbk.,08 Nov 2012,"2,616,500,000",Development
113,BSWD,Bank Of India Indonesia Tbk.,01 May 2002,"3,651,978,177",Watchlist
114,BTEK,Bumi Teknokultura Unggul Tbk,14 May 2004,"46,277,496,376",Watchlist
115,BTEL,Bakrie Telecom Tbk.,03 Feb 2006,"36,822,665,755",Watchlist
116,BTON,Betonjaya Manunggal Tbk.,18 Jul 2001,"720,000,000",Development
117,BTPN,Bank SMBC Indonesia Tbk.,12 Mar 2008,"10,536,203,690",Main
118,BUDI,Budi Starch & Sweetener Tbk.,08 May 1995,"4,498,997,362",Main
119,BUKK,Bukaka Teknik Utama Tbk.,29 Jun 2015,"2,640,452,000",Main
120,BULL,Buana Lintas Lautan Tbk.,23 May 2011,"15,494,436,593",Development
121,BUMI,Bumi Resources Tbk.,30 Jul 1990,"371,335,392,068",Main
122,BUVA,Bukit Uluwatu Villa Tbk.,12 Jul 2010,"24,617,054,642",Development
123,BVIC,Bank Victoria International Tb,30 Jun 1999,"18,234,757,054",Main
124,BWPT,Eagle High Plantations Tbk.,27 Oct 2009,"31,525,291,000",Main
125,BYAN,Bayan Resources Tbk.,12 Agt 2008,"33,333,335,000",Main
126,CANI,Capitol Nusantara Indonesia Tb,16 Jan 2014,"833,440,000",Watchlist
127,CASS,Cahaya Aero Services Tbk.,05 Dec 2011,"2,086,950,000",Main
128,CEKA,Wilmar Cahaya Indonesia Tbk.,09 Jul 1996,"595,000,000",Development
129,CENT,Centratama Telekomunikasi Indo,01 Nov 2001,"31,183,464,900",Development
130,CFIN,Clipan Finance Indonesia Tbk.,27 Agt 1990,"3,984,520,457",Main
131,CINT,Chitose Internasional Tbk.,27 Jun 2014,"1,000,000,000",Development
132,CITA,Cita Mineral Investindo Tbk.,20 Mar 2002,"3,960,361,250",Main
133,CLPI,Colorpak Indonesia Tbk.,30 Nov 2001,"306,338,500",Development
134,CMNP,Citra Marga Nusaphala Persada ,10 Jan 1995,"6,696,354,391",Main
135,CMPP,AirAsia Indonesia Tbk.,08 Dec 1994,"10,685,124,441",Watchlist
136,CNKO,Exploitasi Energi Indonesia Tb,20 Nov 2001,"8,956,361,206",Watchlist
137,CNTX,Century Textile Industry Tbk.,22 May 1979,"70,000,000",Watchlist
138,COWL,Cowell Development Tbk.,19 Dec 2007,"4,871,214,021",Watchlist
139,CPIN,Charoen Pokphand Indonesia Tbk,18 Mar 1991,"16,398,000,000",Main
140,CPRO,Central Proteina Prima Tbk.,28 Nov 2006,"59,572,382,787",Development
141,CSAP,Catur Sentosa Adiprana Tbk.,12 Dec 2007,"5,683,175,151",Development
142,CTBN,Citra Tubindo Tbk.,28 Nov 1989,"800,371,500",Development
143,CTRA,Ciputra Development Tbk.,28 Mar 1994,"18,535,695,255",Main
144,CTTH,Citatah Tbk.,03 Jul 1996,"1,230,839,821",Development
145,DART,Duta Anggada Realty Tbk.,08 May 1990,"3,141,390,962",Development
146,DEFI,Danasupra Erapacific Tbk.,06 Jul 2001,"687,266,666",Watchlist
147,DEWA,Darma Henwa Tbk,26 Sep 2007,"40,687,434,244",Main
148,DGIK,Nusa Konstruksi Enjiniring Tbk,19 Dec 2007,"5,541,165,000",Development
149,DILD,Intiland Development Tbk.,04 Sep 1991,"10,365,854,185",Main
150,DKFT,Central Omega Resources Tbk.,21 Nov 1997,"5,638,246,600",Development
151,DLTA,Delta Djakarta Tbk.,27 Feb 1984,"800,659,050",Main
152,DMAS,Puradelta Lestari Tbk.,29 May 2015,"48,198,111,100",Main
153,DNAR,Bank Oke Indonesia Tbk.,11 Jul 2014,"16,721,891,185",Development
154,DNET,Indoritel Makmur Internasional,11 Dec 2000,"14,184,000,000",Main
155,DOID,BUMA Internasional Grup Tbk.,15 Jun 2001,"7,651,007,132",Main
156,DPNS,Duta Pertiwi Nusantara Tbk.,08 Agt 1990,"331,129,952",Development
157,DSFI,Dharma Samudera Fishing Indust,24 Mar 2000,"1,857,135,500",Development
158,DSNG,Dharma Satya Nusantara Tbk.,14 Jun 2013,"10,599,842,400",Main
159,DSSA,Dian Swastatika Sentosa Tbk,10 Dec 2009,"7,705,523,200",Main
160,DUTI,Duta Pertiwi Tbk,02 Nov 1994,"1,850,000,000",Development
161,DVLA,Darya-Varia Laboratoria Tbk.,11 Nov 1994,"1,120,000,000",Development
162,DYAN,Dyandra Media International Tb,25 Mar 2013,"4,272,964,279",Development
163,ECII,Electronic City Indonesia Tbk.,03 Jul 2013,"1,334,333,000",Development
164,EKAD,Ekadharma International Tbk.,14 Agt 1990,"3,493,875,000",Development
165,ELSA,Elnusa Tbk.,06 Feb 2008,"7,298,500,000",Main
166,ELTY,Bakrieland Development Tbk.,30 Oct 1995,"43,521,913,019",Watchlist
167,EMDE,Megapolitan Developments Tbk.,12 Jan 2011,"3,350,000,000",Development
168,EMTK,Elang Mahkota Teknologi Tbk.,12 Jan 2010,"61,426,451,483",Main
169,ENRG,Energi Mega Persada Tbk.,07 Jun 2004,"26,346,230,250",Main
170,EPMT,Enseval Putera Megatrading Tbk,01 Agt 1994,"2,708,640,000",Development
171,ERAA,Erajaya Swasembada Tbk.,14 Dec 2011,"15,950,000,000",Main
172,ERTX,Eratex Djaja Tbk.,21 Agt 1990,"1,286,539,792",Development
173,ESSA,ESSA Industries Indonesia Tbk.,01 Feb 2012,"17,226,975,700",Main
174,ESTI,Ever Shine Tex Tbk.,13 Oct 1992,"2,015,208,720",Development
175,ETWA,Eterindo Wahanatama Tbk,16 May 1997,"4,668,671,400",Watchlist
176,EXCL,XLSMART Telecom Sejahtera Tbk.,29 Sep 2005,"18,199,862,451",Main
177,FAST,Fast Food Indonesia Tbk.,11 May 1993,"4,523,610,492",Development
178,FASW,Fajar Surya Wisesa Tbk.,19 Dec 1994,"3,221,255,423",Watchlist
179,FISH,FKS Multi Agro Tbk.,18 Jan 2002,"4,800,000,000",Development
180,FMII,Fortune Mate Indonesia Tbk,30 Jun 2000,"6,400,000,000",Development
181,FORU,Fortune Indonesia Tbk,17 Jan 2002,"465,224,000",Development
182,FPNI,Lotte Chemical Titan Tbk.,21 Mar 2002,"5,566,414,000",Development
183,GAMA,Aksara Global Development Tbk.,11 Jul 2012,"10,011,027,656",Watchlist
184,GDST,Gunawan Dianjaya Steel Tbk.,23 Dec 2009,"9,242,500,000",Development
185,GDYR,Goodyear Indonesia Tbk.,22 Dec 1980,"410,000,000",Development
186,GEMA,Gema Grahasarana Tbk.,12 Agt 2002,"1,600,000,000",Development
187,GEMS,Golden Energy Mines Tbk.,17 Nov 2011,"5,882,353,000",Main
188,GGRM,Gudang Garam Tbk.,27 Agt 1990,"1,924,088,000",Main
189,GIAA,Garuda Indonesia (Persero) Tbk,11 Feb 2011,"407,091,703,837",Watchlist
190,GJTL,Gajah Tunggal Tbk.,08 May 1990,"3,484,800,000",Main
191,GLOB,Globe Kita Terang Tbk.,10 Jul 2012,"1,111,112,000",Watchlist
192,GMTD,Gowa Makassar Tourism Developm,11 Dec 2000,"1,015,380,000",Development
193,GOLD,Visi Telekomunikasi Infrastruk,07 Jul 2010,"1,277,276,000",Development
194,GOLL,Golden Plantation Tbk.,23 Dec 2014,"3,665,000,759",Watchlist
195,GPRA,Perdana Gapuraprima Tbk.,10 Oct 2007,"4,276,655,336",Development
196,GSMF,Equity Development Investment ,23 Oct 1989,"14,230,399,705",Development
197,GTBO,Garda Tujuh Buana Tbk,09 Jul 2009,"2,500,000,000",Development
198,GWSA,Greenwood Sejahtera Tbk.,23 Dec 2011,"7,800,760,000",Main
199,GZCO,Gozco Plantations Tbk.,15 May 2008,"6,000,000,000",Development
200,HADE,Himalaya Energi Perkasa Tbk.,12 Apr 2004,"2,120,000,000",Watchlist
201,HDFA,Radana Bhaskara Finance Tbk.,10 May 2011,"6,542,445,783",Development
202,HERO,DFI Retail Nusantara Tbk.,21 Agt 1989,"4,183,634,000",Development
203,HEXA,Hexindo Adiperkasa Tbk.,13 Feb 1995,"840,000,000",Main
204,HITS,Humpuss Intermoda Transportasi,15 Dec 1997,"7,101,084,801",Watchlist
205,HMSP,H.M. Sampoerna Tbk.,15 Agt 1990,"116,318,076,900",Main
206,HOME,Hotel Mandarine Regency Tbk.,17 Jul 2008,"22,212,194,782",Watchlist
207,HOTL,Saraswati Griya Lestari Tbk.,10 Jan 2013,"3,550,001,452",Watchlist
208,HRUM,Harum Energy Tbk.,06 Oct 2010,"13,518,100,000",Main
209,IATA,MNC Energy Investments Tbk.,13 Sep 2006,"31,275,829,981",Development
210,IBFN,Intan Baru Prana Tbk.,22 Dec 2014,"1,517,332,349",Watchlist
211,IBST,Inti Bangun Sejahtera Tbk.,31 Agt 2012,"1,350,904,927",Watchlist
212,ICBP,Indofood CBP Sukses Makmur Tbk,07 Oct 2010,"11,661,908,000",Main
213,ICON,Island Concepts Indonesia Tbk.,08 Jul 2005,"1,089,750,000",Watchlist
214,IGAR,Champion Pacific Indonesia Tbk,05 Nov 1990,"927,780,600",Development
215,IIKP,Inti Agri Resources Tbk,14 Oct 2002,"33,600,000,000",Watchlist
216,IKAI,Intikeramik Alamasri Industri ,04 Jun 1997,"13,305,799,387",Watchlist
217,IKBI,Sumi Indo Kabel Tbk.,21 Jan 1991,"1,224,000,000",Development
218,IMAS,Indomobil Sukses Internasional,15 Nov 1993,"3,994,291,039",Main
219,IMJS,Indomobil Multi Jasa Tbk.,10 Dec 2013,"10,792,097,136",Development
220,IMPC,Impack Pratama Industri Tbk.,17 Dec 2014,"54,907,000,000",Main
221,INAF,Indofarma Tbk.,17 Apr 2001,"3,099,267,500",Watchlist
222,INAI,Indal Aluminium Industry Tbk.,05 Dec 1994,"633,600,000",Development
223,INCI,Intanwijaya Internasional Tbk,24 Jul 1990,"207,656,617",Development
224,INCO,Vale Indonesia Tbk.,16 May 1990,"10,539,784,534",Main
225,INDF,Indofood Sukses Makmur Tbk.,14 Jul 1994,"8,780,426,500",Main
226,INDR,Indo-Rama Synthetics Tbk.,03 Agt 1990,"654,351,707",Development
227,INDS,Indospring Tbk.,10 Agt 1990,"6,562,497,100",Development
228,INDX,Tanah Laut Tbk,17 May 2001,"437,913,588",Development
229,INDY,Indika Energy Tbk.,11 Jun 2008,"5,210,192,000",Main
230,INKP,Indah Kiat Pulp & Paper Tbk.,16 Jul 1990,"5,470,982,941",Main
231,INPC,Bank Artha Graha Internasional,23 Agt 1990,"20,021,178,779",Main
232,INPP,Indonesian Paradise Property T,12 Jan 2004,"11,181,971,732",Development
233,INRU,Toba Pulp Lestari Tbk.,18 Jun 1990,"1,388,883,283",Development
234,INTA,Intraco Penta Tbk.,23 Agt 1993,"3,343,935,022",Watchlist
235,INTD,Inter Delta Tbk,18 Dec 1989,"591,828,000",Development
236,INTP,Indocement Tunggal Prakarsa Tb,05 Dec 1989,"3,515,602,799",Main
237,IPOL,Indopoly Swakarsa Industry Tbk,09 Jul 2010,"6,443,379,509",Development
238,ISAT,Indosat Tbk.,19 Oct 1994,"32,250,810,957",Main
239,ISSP,Steel Pipe Industry of Indones,22 Feb 2013,"7,185,992,035",Main
240,ITMA,Sumber Energi Andalan Tbk.,10 Dec 1990,"999,053,167",Development
241,ITMG,Indo Tambangraya Megah Tbk.,18 Dec 2007,"1,129,925,000",Main
242,JAWA,Jaya Agra Wattie Tbk.,30 May 2011,"16,232,951,842",Development
243,JECC,Jembo Cable Company Tbk.,18 Nov 1992,"756,000,000",Development
244,JIHD,Jakarta International Hotels &,29 Feb 1984,"2,329,040,482",Development
245,JKON,Jaya Konstruksi Manggala Prata,04 Dec 2007,"16,308,519,860",Main
246,JPFA,Japfa Comfeed Indonesia Tbk.,23 Oct 1989,"11,726,575,201",Main
247,JRPT,Jaya Real Property Tbk.,29 Jun 1994,"12,910,719,100",Main
248,JSMR,Jasa Marga (Persero) Tbk.,12 Nov 2007,"7,257,871,200",Main
249,JSPT,Jakarta Setiabudi Internasiona,12 Jan 1998,"2,318,736,000",Development
250,JTPE,Jasuindo Tiga Perkasa Tbk.,16 Apr 2002,"6,852,050,000",Main
251,KAEF,Kimia Farma Tbk.,04 Jul 2001,"5,566,588,407",Development
252,KARW,Meratus Jasa Prima Tbk.,20 Dec 1994,"587,152,700",Watchlist
253,KBLI,KMI Wire & Cable Tbk.,06 Jul 1992,"4,007,235,107",Main
254,KBLM,Kabelindo Murni Tbk.,01 Jun 1992,"1,120,000,000",Development
255,KBLV,First Media Tbk.,25 Feb 2000,"1,742,167,907",Development
256,KBRI,Kertas Basuki Rachmat Indonesi,11 Jul 2008,"8,687,995,734",Watchlist
257,KDSI,Kedawung Setia Industrial Tbk.,29 Jul 1996,"1,620,000,000",Development
258,KIAS,Keramika Indonesia Assosiasi T,08 Dec 1994,"14,929,100,000",Watchlist
259,KICI,Kedaung Indah Can Tbk,28 Oct 1993,"276,000,000",Development
260,KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,"20,824,888,369",Main
261,KKGI,Resource Alam Indonesia Tbk.,01 Jul 1991,"5,000,000,000",Main
262,KLBF,Kalbe Farma Tbk.,30 Jul 1991,"46,813,391,540",Main
263,KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,"2,272,500,000",Development
264,KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008,"980,843,732",Watchlist
265,KONI,Perdana Bangun Pusaka Tbk,22 Agt 1995,"312,000,000",Development
266,KOPI,Mitra Energi Persada Tbk.,04 May 2015,"697,266,668",Development
267,KPIG,MNC Tourism Indonesia Tbk.,30 Mar 2000,"99,342,849,263",Main
268,KRAS,Krakatau Steel (Persero) Tbk.,10 Nov 2010,"19,346,396,900",Development
269,KREN,Quantum Clovera Investama Tbk.,28 Jun 2002,"18,208,470,100",Watchlist
270,LAPD,Leyand International Tbk.,17 Jul 2001,"3,966,350,139",Development
271,LCGP,Eureka Prima Jakarta Tbk.,13 Jul 2007,"5,630,000,914",Watchlist
272,LEAD,Logindo Samudramakmur Tbk.,11 Dec 2013,"5,799,616,328",Development
273,LINK,Link Net Tbk.,02 Jun 2014,"2,863,195,484",Development
274,LION,Lion Metal Works Tbk.,20 Agt 1993,"520,160,000",Development
275,LMAS,Limas Indonesia Makmur Tbk,28 Dec 2001,"787,851,525",Watchlist
276,LMPI,Langgeng Makmur Industri Tbk.,17 Oct 1994,"1,008,517,669",Development
277,LMSH,Lionmesh Prima Tbk.,04 Jun 1990,"96,000,000",Watchlist
278,LPCK,Lippo Cikarang Tbk,24 Jul 1997,"5,134,685,692",Development
279,LPGI,Lippo General Insurance Tbk.,22 Jul 1997,"3,000,000,000",Development
280,LPIN,Multi Prima Sejahtera Tbk,05 Feb 1990,"425,000,000",Development
281,LPKR,Lippo Karawaci Tbk.,28 Jun 1996,"70,898,018,369",Main
282,LPLI,Star Pacific Tbk,23 Oct 1989,"1,170,432,803",Development
283,LPPF,Matahari Department Store Tbk.,09 Oct 1989,"2,258,279,280",Main
284,LPPS,Lenox Pasifik Investama Tbk.,28 Mar 1994,"2,588,250,000",Development
285,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,"350,000,022",Development
286,LSIP,PP London Sumatra Indonesia Tb,05 Jul 1996,"6,819,963,965",Main
287,LTLS,Lautan Luas Tbk.,21 Jul 1997,"1,560,000,000",Main
288,MAGP,Multi Agro Gemilang Plantation,16 Jan 2013,"9,000,000,004",Watchlist
289,MAIN,Malindo Feedmill Tbk.,10 Feb 2006,"2,238,750,000",Main
290,MAPI,Mitra Adiperkasa Tbk.,10 Nov 2004,"16,600,000,000",Main
291,MAYA,Bank Mayapada Internasional Tb,29 Agt 1997,"25,906,179,152",Main
292,MBAP,Mitrabara Adiperdana Tbk.,10 Jul 2014,"1,227,271,952",Development
293,MBSS,Mitrabahtera Segara Sejati Tbk,06 Apr 2011,"1,750,026,639",Main
294,MBTO,Martina Berto Tbk.,13 Jan 2011,"1,070,000,000",Development
295,MCOR,Bank China Construction Bank I,03 Jul 2007,"37,540,533,209",Main
296,MDIA,Intermedia Capital Tbk.,11 Apr 2014,"39,215,538,400",Watchlist
297,MDKA,Merdeka Copper Gold Tbk.,19 Jun 2015,"24,472,983,771",Main
298,MDLN,Modernland Realty Tbk.,18 Jan 1993,"12,533,067,322",Development
299,MDRN,Modern Internasional Tbk.,16 Jul 1991,"7,632,167,798",Watchlist
300,MEDC,Medco Energi Internasional Tbk,12 Oct 1994,"25,136,231,252",Main
301,MEGA,Bank Mega Tbk.,17 Apr 2000,"11,623,514,905",Main
302,MERK,Merck Tbk.,23 Jul 1981,"448,000,000",Development
303,META,Nusantara Infrastructure Tbk.,18 Jul 2001,"17,710,708,194",Watchlist
304,MFMI,Multifiling Mitra Indonesia Tb,29 Dec 2010,"757,581,000",Watchlist
305,MGNA,Magna Investama Mandiri Tbk.,08 Jul 2014,"3,410,535,757",Development
306,MICE,Multi Indocitra Tbk.,21 Dec 2005,"600,000,000",Development
307,MIDI,Midi Utama Indonesia Tbk.,30 Nov 2010,"33,435,294,800",Main
308,MIKA,Mitra Keluarga Karyasehat Tbk.,24 Mar 2015,"13,907,481,500",Main
309,MIRA,Mitra International Resources ,30 Jan 1997,"3,961,452,039",Watchlist
310,MITI,Mitra Investindo Tbk.,16 Jul 1997,"3,750,526,603",Development
311,MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,"948,194,000",Development
312,MLBI,Multi Bintang Indonesia Tbk.,15 Dec 1981,"2,107,000,000",Main
313,MLIA,Mulia Industrindo Tbk,17 Jan 1994,"6,615,000,000",Main
314,MLPL,Multipolar Tbk.,06 Nov 1989,"15,682,323,987",Main
315,MLPT,Multipolar Technology Tbk.,08 Jul 2013,"1,875,000,000",Development
316,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,"6,889,134,608",Main
317,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,"15,049,787,710",Main
318,MPMX,Mitra Pinasthika Mustika Tbk.,29 May 2013,"4,386,963,276",Main
319,MPPA,Matahari Putra Prima Tbk.,21 Dec 1992,"12,966,640,084",Development
